step	binary_logloss
0	0.28373449191422306
1	0.2454077322621485
2	0.218102179991709
3	0.19648117940853504
4	0.17931947516016974
5	0.16523091996751518
6	0.1526382108071552
7	0.1416257306212791
8	0.13248714749460036
9	0.12441786712400675
10	0.11752473730716466
