step	binary_logloss
0	0.29719247828357265
1	0.26596501081710516
2	0.24067796352394463
3	0.22199140835066203
4	0.20670974173681758
5	0.19561361983044828
6	0.18522433912915964
7	0.1765743031418517
8	0.1691307657412135
9	0.1634632311157647
10	0.15762315167115265
11	0.1537895255858001
12	0.1497873872388929
13	0.1470815256658902
14	0.1436815780690797
15	0.14173666897534168
16	0.14089301339802812
17	0.13843526608034928
18	0.13682515398811704
19	0.13544962612895656
20	0.1341503433875305
21	0.1325450103093494
22	0.13208468389715963
23	0.13171442241838016
24	0.13152335541739768
25	0.13112907713130276
26	0.13025435186065992
27	0.12939597839526126
28	0.12947908830740248
29	0.13003138765583047
30	0.13025993841070077
31	0.13077296410588307
32	0.13086758447634064
33	0.1312795139000942
34	0.13118498811323745
35	0.131751965924938
36	0.13238327874000713
37	0.13445935866754963
38	0.13580067401792553
39	0.13616566731129467
40	0.13792661674261522
41	0.1384048709785396
42	0.139415924979617
43	0.13986755743350265
44	0.14101456438160026
45	0.1404464227829548
46	0.14181183747024317
47	0.14232981972340727
48	0.1433801784233638
49	0.14293058857493646
50	0.14367350541309662
51	0.14382456966966645
52	0.1446695302638938
53	0.14439452354262425
54	0.1437582845690465
55	0.14470566927488585
56	0.14471590613813998
57	0.14569409815030573
58	0.14638024052266455
59	0.14726389525720857
60	0.14915725849842237
61	0.14967260197103704
62	0.15168013742002764
63	0.15297684599565162
64	0.1532106579578283
65	0.15519486559231277
66	0.15547008594893794
67	0.15677128753554675
68	0.1570233674936464
69	0.15852070694000878
70	0.16047074804574887
71	0.16133357094799422
72	0.16131178341165398
73	0.1617223547388659
74	0.16254215992598872
75	0.16419243935993308
76	0.165215323418192
77	0.16681378516159473
78	0.16770790567777283
79	0.16901646675440113
80	0.17026668991805227
81	0.17139941725713995
82	0.17283065168288866
83	0.17492068645349604
84	0.17594047418307127
85	0.17603659826905385
86	0.1771994968797436
87	0.17899110136359564
88	0.18017618494300233
89	0.181053879593216
90	0.18182045094264246
91	0.18437951940176664
92	0.18790129005215014
93	0.18914787059259797
94	0.19012994223975813
95	0.19065302537563733
96	0.19200568836570894
97	0.19488043938095959
98	0.1954577426419614
99	0.19773263966039203
